Date,Fear Greed,Rating
2014-09-11,44.0,fear
2014-09-12,43.0,fear
2014-09-15,38.0,fear
2014-09-16,37.0,fear
2014-09-17,42.0,fear
2014-09-18,37.0,fear
2014-09-19,36.0,fear
2014-09-22,22.0,extreme fear
2014-09-23,18.0,extreme fear
2014-09-24,17.0,extreme fear
2014-09-25,8.0,extreme fear
2014-09-26,13.0,extreme fear
2014-09-29,11.0,extreme fear
2014-09-30,12.0,extreme fear
2014-10-01,7.0,extreme fear
2014-10-02,3.0,extreme fear
2014-10-03,5.0,extreme fear
2014-10-06,5.0,extreme fear
2014-10-07,6.0,extreme fear
2014-10-08,4.0,extreme fear
2014-10-09,3.0,extreme fear
2014-10-10,1.0,extreme fear
2014-10-13,0.0,extreme fear
2014-10-14,2.0,extreme fear
2014-10-15,1.0,extreme fear
2014-10-16,2.0,extreme fear
2014-10-17,7.0,extreme fear
2014-10-20,5.0,extreme fear
2014-10-21,7.0,extreme fear
2014-10-22,8.0,extreme fear
2014-10-23,11.0,extreme fear
2014-10-24,13.0,extreme fear
2014-10-27,16.0,extreme fear
2014-10-28,21.0,extreme fear
2014-10-29,25.0,fear
2014-10-30,31.0,fear
2014-10-31,32.0,fear
2014-11-03,40.0,fear
2014-11-04,40.0,fear
2014-11-05,49.0,neutral
2014-11-06,49.0,neutral
2014-11-07,55.0,greed
2014-11-10,57.0,greed
2014-11-11,58.0,greed
2014-11-12,56.0,greed
2014-11-13,54.0,neutral
2014-11-14,53.0,neutral
2014-11-17,53.0,neutral
2014-11-18,54.0,neutral
2014-11-19,55.0,greed
2014-11-20,59.0,greed
2014-11-21,59.0,greed
2014-11-24,62.0,greed
2014-11-25,62.0,greed
2014-11-26,63.0,greed
2014-11-28,59.0,greed
2014-12-01,55.0,greed
2014-12-02,55.0,greed
2014-12-03,59.0,greed
2014-12-04,59.0,greed
2014-12-05,61.0,greed
2014-12-08,55.0,greed
2014-12-09,46.0,neutral
2014-12-10,41.0,fear
2014-12-11,37.0,fear
2014-12-12,31.0,fear
2014-12-15,22.0,extreme fear
2014-12-16,19.0,extreme fear
2014-12-17,21.0,extreme fear
2014-12-18,33.0,fear
2014-12-19,33.0,fear
2014-12-22,43.0,fear
2014-12-23,45.0,neutral
2014-12-24,47.0,neutral
2014-12-26,48.0,neutral
2014-12-29,47.0,neutral
2014-12-30,47.0,neutral
2014-12-31,45.0,neutral
2015-01-02,37.0,fear
2015-01-05,30.0,fear
2015-01-06,21.0,extreme fear
2015-01-07,21.0,extreme fear
2015-01-08,28.0,fear
2015-01-09,29.0,fear
2015-01-12,30.0,fear
2015-01-13,29.0,fear
2015-01-14,30.0,fear
2015-01-15,30.0,fear
2015-01-16,26.0,fear
2015-01-20,25.0,fear
2015-01-21,28.0,fear
2015-01-22,32.0,fear
2015-01-23,31.0,fear
2015-01-26,28.0,fear
2015-01-27,28.0,fear
2015-01-28,26.0,fear
2015-01-29,26.0,fear
2015-01-30,25.0,fear
2015-02-02,30.0,fear
2015-02-03,46.0,neutral
2015-02-04,42.0,fear
2015-02-05,50.0,neutral
2015-02-06,52.0,neutral
2015-02-09,52.0,neutral
2015-02-10,54.0,neutral
2015-02-11,61.0,greed
2015-02-12,64.0,greed
2015-02-13,73.0,greed
2015-02-17,77.0,extreme greed
2015-02-18,79.0,extreme greed
2015-02-19,77.0,extreme greed
2015-02-20,80.0,extreme greed
2015-02-23,77.0,extreme greed
2015-02-24,75.0,extreme greed
2015-02-25,77.0,extreme greed
2015-02-26,78.0,extreme greed
2015-02-27,74.0,greed
2015-03-02,74.0,greed
2015-03-03,66.0,greed
2015-03-04,66.0,greed
2015-03-05,65.0,greed
2015-03-06,58.0,greed
2015-03-09,58.0,greed
2015-03-10,52.0,neutral
2015-03-11,44.0,fear
2015-03-12,46.0,neutral
2015-03-13,39.0,fear
2015-03-16,42.0,fear
2015-03-17,40.0,fear
2015-03-18,39.0,fear
2015-03-19,43.0,fear
2015-03-20,43.0,fear
2015-03-23,48.0,neutral
2015-03-24,44.0,fear
2015-03-25,44.0,fear
2015-03-26,37.0,fear
2015-03-27,36.0,fear
2015-03-30,37.0,fear
2015-03-31,37.0,fear
2015-04-01,35.0,fear
2015-04-02,40.0,fear
2015-04-06,43.0,fear
2015-04-07,48.0,neutral
2015-04-08,48.0,neutral
2015-04-09,56.0,greed
2015-04-10,56.0,greed
2015-04-13,60.0,greed
2015-04-14,60.0,greed
2015-04-15,60.0,greed
2015-04-16,57.0,greed
2015-04-17,57.0,greed
2015-04-20,55.0,greed
2015-04-21,59.0,greed
2015-04-22,59.0,greed
2015-04-23,64.0,greed
2015-04-24,66.0,greed
2015-04-27,59.0,greed
2015-04-28,61.0,greed
2015-04-29,61.0,greed
2015-04-30,53.0,neutral
2015-05-01,61.0,greed
2015-05-04,61.0,greed
2015-05-05,58.0,greed
2015-05-06,58.0,greed
2015-05-07,53.0,neutral
2015-05-08,58.0,greed
2015-05-11,53.0,neutral
2015-05-12,49.0,neutral
2015-05-13,55.0,greed
2015-05-14,57.0,greed
2015-05-15,57.0,greed
2015-05-18,62.0,greed
2015-05-19,62.0,greed
2015-05-20,64.0,greed
2015-05-21,64.0,greed
2015-05-22,60.0,greed
2015-05-26,50.0,neutral
2015-05-27,47.0,neutral
2015-05-28,47.0,neutral
2015-05-29,43.0,fear
2015-06-01,40.0,fear
2015-06-02,43.0,fear
2015-06-03,45.0,neutral
2015-06-04,44.0,fear
2015-06-05,40.0,fear
2015-06-08,36.0,fear
2015-06-09,36.0,fear
2015-06-10,37.0,fear
2015-06-11,41.0,fear
2015-06-12,30.0,fear
2015-06-15,26.0,fear
2015-06-16,27.0,fear
2015-06-17,26.0,fear
2015-06-18,34.0,fear
2015-06-19,30.0,fear
2015-06-22,42.0,fear
2015-06-23,49.0,neutral
2015-06-24,36.0,fear
2015-06-25,34.0,fear
2015-06-26,33.0,fear
2015-06-29,8.0,extreme fear
2015-06-30,11.0,extreme fear
2015-07-01,18.0,extreme fear
2015-07-02,16.0,extreme fear
2015-07-06,13.0,extreme fear
2015-07-07,13.0,extreme fear
2015-07-08,9.0,extreme fear
2015-07-09,12.0,extreme fear
2015-07-10,14.0,extreme fear
2015-07-13,24.0,extreme fear
2015-07-14,24.0,extreme fear
2015-07-15,30.0,fear
2015-07-16,30.0,fear
2015-07-17,34.0,fear
2015-07-20,34.0,fear
2015-07-21,25.0,fear
2015-07-22,20.0,extreme fear
2015-07-23,15.0,extreme fear
2015-07-24,15.0,extreme fear
2015-07-27,7.0,extreme fear
2015-07-28,17.0,extreme fear
2015-07-29,21.0,extreme fear
2015-07-30,21.0,extreme fear
2015-07-31,20.0,extreme fear
2015-08-03,24.0,extreme fear
2015-08-04,28.0,fear
2015-08-05,21.0,extreme fear
2015-08-06,18.0,extreme fear
2015-08-07,10.0,extreme fear
2015-08-10,9.0,extreme fear
2015-08-11,12.0,extreme fear
2015-08-12,9.0,extreme fear
2015-08-13,11.0,extreme fear
2015-08-14,11.0,extreme fear
2015-08-17,14.0,extreme fear
2015-08-18,13.0,extreme fear
2015-08-19,13.0,extreme fear
2015-08-20,8.0,extreme fear
2015-08-21,8.0,extreme fear
2015-08-24,3.0,extreme fear
2015-08-25,9.0,extreme fear
2015-08-26,12.0,extreme fear
2015-08-27,13.0,extreme fear
2015-08-28,14.0,extreme fear
2015-08-31,14.0,extreme fear
2015-09-01,9.0,extreme fear
2015-09-02,13.0,extreme fear
2015-09-03,11.0,extreme fear
2015-09-04,10.0,extreme fear
2015-09-08,13.0,extreme fear
2015-09-09,13.0,extreme fear
2015-09-10,15.0,extreme fear
2015-09-11,14.0,extreme fear
2015-09-14,13.0,extreme fear
2015-09-15,16.0,extreme fear
2015-09-16,16.0,extreme fear
2015-09-17,16.0,extreme fear
2015-09-18,18.0,extreme fear
2015-09-21,23.0,extreme fear
2015-09-22,31.0,fear
2015-09-23,31.0,fear
2015-09-24,22.0,extreme fear
2015-09-25,18.0,extreme fear
2015-09-28,15.0,extreme fear
2015-09-29,13.0,extreme fear
2015-09-30,21.0,extreme fear
2015-10-01,18.0,extreme fear
2015-10-02,24.0,extreme fear
2015-10-05,31.0,fear
2015-10-06,36.0,fear
2015-10-07,37.0,fear
2015-10-08,42.0,fear
2015-10-09,43.0,fear
2015-10-12,41.0,fear
2015-10-13,35.0,fear
2015-10-14,35.0,fear
2015-10-15,41.0,fear
2015-10-16,45.0,neutral
2015-10-19,47.0,neutral
2015-10-20,51.0,neutral
2015-10-21,50.0,neutral
2015-10-22,55.0,greed
2015-10-23,59.0,greed
2015-10-26,61.0,greed
2015-10-27,69.0,greed
2015-10-28,69.0,greed
2015-10-29,71.0,greed
2015-10-30,70.0,greed
2015-11-02,73.0,greed
2015-11-03,73.0,greed
2015-11-04,72.0,greed
2015-11-05,73.0,greed
2015-11-06,71.0,greed
2015-11-09,67.0,greed
2015-11-10,66.0,greed
2015-11-11,63.0,greed
2015-11-12,55.0,greed
2015-11-13,45.0,neutral
2015-11-16,50.0,neutral
2015-11-17,48.0,neutral
2015-11-18,53.0,neutral
2015-11-19,52.0,neutral
2015-11-20,54.0,neutral
2015-11-23,53.0,neutral
2015-11-24,58.0,greed
2015-11-25,59.0,greed
2015-11-27,58.0,greed
2015-11-30,58.0,greed
2015-12-01,60.0,greed
2015-12-02,55.0,greed
2015-12-03,49.0,neutral
2015-12-04,58.0,greed
2015-12-07,47.0,neutral
2015-12-08,38.0,fear
2015-12-09,35.0,fear
2015-12-10,36.0,fear
2015-12-11,24.0,extreme fear
2015-12-14,29.0,fear
2015-12-15,35.0,fear
2015-12-16,44.0,fear
2015-12-17,34.0,fear
2015-12-18,29.0,fear
2015-12-21,32.0,fear
2015-12-22,36.0,fear
2015-12-23,42.0,fear
2015-12-24,42.0,fear
2015-12-28,44.0,fear
2015-12-29,51.0,neutral
2015-12-30,47.0,neutral
2015-12-31,45.0,neutral
2016-01-04,40.0,fear
2016-01-05,41.0,fear
2016-01-06,34.0,fear
2016-01-07,25.0,fear
2016-01-08,17.0,extreme fear
2016-01-11,18.0,extreme fear
2016-01-12,17.0,extreme fear
2016-01-13,14.0,extreme fear
2016-01-14,18.0,extreme fear
2016-01-15,10.0,extreme fear
2016-01-19,11.0,extreme fear
2016-01-20,9.0,extreme fear
2016-01-21,13.0,extreme fear
2016-01-22,14.0,extreme fear
2016-01-25,15.0,extreme fear
2016-01-26,18.0,extreme fear
2016-01-27,19.0,extreme fear
2016-01-28,21.0,extreme fear
2016-01-29,27.0,fear
2016-02-01,27.0,fear
2016-02-02,23.0,extreme fear
2016-02-03,25.0,fear
2016-02-04,25.0,fear
2016-02-05,17.0,extreme fear
2016-02-08,14.0,extreme fear
2016-02-09,20.0,extreme fear
2016-02-10,16.0,extreme fear
2016-02-11,18.0,extreme fear
2016-02-12,24.0,extreme fear
2016-02-16,34.0,fear
2016-02-17,45.0,neutral
2016-02-18,47.0,neutral
2016-02-19,50.0,neutral
2016-02-22,51.0,neutral
2016-02-23,51.0,neutral
2016-02-24,49.0,neutral
2016-02-25,54.0,neutral
2016-02-26,57.0,greed
2016-02-29,53.0,neutral
2016-03-01,64.0,greed
2016-03-02,66.0,greed
2016-03-03,69.0,greed
2016-03-04,71.0,greed
2016-03-07,73.0,greed
2016-03-08,70.0,greed
2016-03-09,71.0,greed
2016-03-10,71.0,greed
2016-03-11,75.0,extreme greed
2016-03-14,73.0,greed
2016-03-15,73.0,greed
2016-03-16,75.0,extreme greed
2016-03-17,78.0,extreme greed
2016-03-18,79.0,extreme greed
2016-03-21,78.0,extreme greed
2016-03-22,78.0,extreme greed
2016-03-23,70.0,greed
2016-03-24,66.0,greed
2016-03-28,64.0,greed
2016-03-29,68.0,greed
2016-03-30,71.0,greed
2016-03-31,73.0,greed
2016-04-01,78.0,extreme greed
2016-04-04,74.0,greed
2016-04-05,67.0,greed
2016-04-06,77.0,extreme greed
2016-04-07,66.0,greed
2016-04-08,68.0,greed
2016-04-11,64.0,greed
2016-04-12,68.0,greed
2016-04-13,71.0,greed
2016-04-14,72.0,greed
2016-04-15,70.0,greed
2016-04-18,75.0,extreme greed
2016-04-19,75.0,extreme greed
2016-04-20,76.0,extreme greed
2016-04-21,74.0,greed
2016-04-22,74.0,greed
2016-04-25,70.0,greed
2016-04-26,72.0,greed
2016-04-27,72.0,greed
2016-04-28,69.0,greed
2016-04-29,63.0,greed
2016-05-02,71.0,greed
2016-05-03,63.0,greed
2016-05-04,57.0,greed
2016-05-05,58.0,greed
2016-05-06,61.0,greed
2016-05-09,60.0,greed
2016-05-10,67.0,greed
2016-05-11,60.0,greed
2016-05-12,61.0,greed
2016-05-13,54.0,neutral
2016-05-16,62.0,greed
2016-05-17,53.0,neutral
2016-05-18,55.0,greed
2016-05-19,51.0,neutral
2016-05-20,56.0,greed
2016-05-23,54.0,neutral
2016-05-24,65.0,greed
2016-05-25,73.0,greed
2016-05-26,74.0,greed
2016-05-27,78.0,extreme greed
2016-05-31,75.0,extreme greed
2016-06-01,78.0,extreme greed
2016-06-02,79.0,extreme greed
2016-06-03,75.0,extreme greed
2016-06-06,80.0,extreme greed
2016-06-07,81.0,extreme greed
2016-06-08,80.0,extreme greed
2016-06-09,79.0,extreme greed
2016-06-10,61.0,greed
2016-06-13,53.0,neutral
2016-06-14,50.0,neutral
2016-06-15,50.0,neutral
2016-06-16,51.0,neutral
2016-06-17,53.0,neutral
2016-06-20,62.0,greed
2016-06-21,67.0,greed
2016-06-22,57.0,greed
2016-06-23,77.0,extreme greed
2016-06-24,42.0,fear
2016-06-27,37.0,fear
2016-06-28,47.0,neutral
2016-06-29,60.0,greed
2016-06-30,64.0,greed
2016-07-01,71.0,greed
2016-07-05,67.0,greed
2016-07-06,70.0,greed
2016-07-07,69.0,greed
2016-07-08,78.0,extreme greed
2016-07-11,83.0,extreme greed
2016-07-12,88.0,extreme greed
2016-07-13,86.0,extreme greed
2016-07-14,90.0,extreme greed
2016-07-15,89.0,extreme greed
2016-07-18,91.0,extreme greed
2016-07-19,87.0,extreme greed
2016-07-20,90.0,extreme greed
2016-07-21,85.0,extreme greed
2016-07-22,86.0,extreme greed
2016-07-25,85.0,extreme greed
2016-07-26,85.0,extreme greed
2016-07-27,82.0,extreme greed
2016-07-28,82.0,extreme greed
2016-07-29,79.0,extreme greed
2016-08-01,77.0,extreme greed
2016-08-02,77.0,extreme greed
2016-08-03,81.0,extreme greed
2016-08-04,80.0,extreme greed
2016-08-05,86.0,extreme greed
2016-08-08,84.0,extreme greed
2016-08-09,80.0,extreme greed
2016-08-10,74.0,greed
2016-08-11,80.0,extreme greed
2016-08-12,75.0,extreme greed
2016-08-15,81.0,extreme greed
2016-08-16,77.0,extreme greed
2016-08-17,76.0,extreme greed
2016-08-18,78.0,extreme greed
2016-08-19,77.0,extreme greed
2016-08-22,72.0,greed
2016-08-23,76.0,extreme greed
2016-08-24,69.0,greed
2016-08-25,66.0,greed
2016-08-26,63.0,greed
2016-08-29,64.0,greed
2016-08-30,64.0,greed
2016-08-31,61.0,greed
2016-09-01,62.0,greed
2016-09-02,65.0,greed
2016-09-06,65.0,greed
2016-09-07,65.0,greed
2016-09-08,70.0,greed
2016-09-09,43.0,fear
2016-09-12,58.0,greed
2016-09-13,35.0,fear
2016-09-14,33.0,fear
2016-09-15,43.0,fear
2016-09-16,43.0,fear
2016-09-19,44.0,fear
2016-09-20,45.0,neutral
2016-09-21,56.0,greed
2016-09-22,60.0,greed
2016-09-23,54.0,neutral
2016-09-26,41.0,fear
2016-09-27,45.0,neutral
2016-09-28,51.0,neutral
2016-09-29,37.0,fear
2016-09-30,49.0,neutral
2016-10-03,45.0,neutral
2016-10-04,43.0,fear
2016-10-05,51.0,neutral
2016-10-06,53.0,neutral
2016-10-07,51.0,neutral
2016-10-10,57.0,greed
2016-10-11,43.0,fear
2016-10-12,45.0,neutral
2016-10-13,34.0,fear
2016-10-14,41.0,fear
2016-10-17,33.0,fear
2016-10-18,40.0,fear
2016-10-19,39.0,fear
2016-10-20,38.0,fear
2016-10-21,43.0,fear
2016-10-24,53.0,neutral
2016-10-25,48.0,neutral
2016-10-26,43.0,fear
2016-10-27,46.0,neutral
2016-10-28,32.0,fear
2016-10-31,30.0,fear
2016-11-01,21.0,extreme fear
2016-11-02,17.0,extreme fear
2016-11-03,14.0,extreme fear
2016-11-04,14.0,extreme fear
2016-11-07,33.0,fear
2016-11-08,33.0,fear
2016-11-09,43.0,fear
2016-11-10,45.0,neutral
2016-11-11,48.0,neutral
2016-11-14,53.0,neutral
2016-11-15,63.0,greed
2016-11-16,60.0,greed
2016-11-17,63.0,greed
2016-11-18,61.0,greed
2016-11-21,67.0,greed
2016-11-22,67.0,greed
2016-11-23,70.0,greed
2016-11-25,72.0,greed
2016-11-28,70.0,greed
2016-11-29,71.0,greed
2016-11-30,73.0,greed
2016-12-01,71.0,greed
2016-12-02,71.0,greed
2016-12-05,75.0,extreme greed
2016-12-06,77.0,extreme greed
2016-12-07,83.0,extreme greed
2016-12-08,85.0,extreme greed
2016-12-09,87.0,extreme greed
2016-12-12,87.0,extreme greed
2016-12-13,88.0,extreme greed
2016-12-14,86.0,extreme greed
2016-12-15,86.0,extreme greed
2016-12-16,84.0,extreme greed
2016-12-19,82.0,extreme greed
2016-12-20,79.0,extreme greed
2016-12-21,74.0,greed
2016-12-22,71.0,greed
2016-12-23,66.0,greed
2016-12-27,70.0,greed
2016-12-28,64.0,greed
2016-12-29,64.0,greed
2016-12-30,58.0,greed
2017-01-03,71.0,greed
2017-01-04,71.0,greed
2017-01-05,68.0,greed
2017-01-06,70.0,greed
2017-01-09,66.0,greed
2017-01-10,62.0,greed
2017-01-11,61.0,greed
2017-01-12,55.0,greed
2017-01-13,57.0,greed
2017-01-17,57.0,greed
2017-01-18,56.0,greed
2017-01-19,53.0,neutral
2017-01-20,54.0,neutral
2017-01-23,49.0,neutral
2017-01-24,54.0,neutral
2017-01-25,62.0,greed
2017-01-26,57.0,greed
2017-01-27,59.0,greed
2017-01-30,53.0,neutral
2017-01-31,54.0,neutral
2017-02-01,53.0,neutral
2017-02-02,51.0,neutral
2017-02-03,60.0,greed
2017-02-06,56.0,greed
2017-02-07,56.0,greed
2017-02-08,61.0,greed
2017-02-09,69.0,greed
2017-02-10,69.0,greed
2017-02-13,74.0,greed
2017-02-14,79.0,extreme greed
2017-02-15,80.0,extreme greed
2017-02-16,78.0,extreme greed
2017-02-17,77.0,extreme greed
2017-02-21,83.0,extreme greed
2017-02-22,80.0,extreme greed
2017-02-23,75.0,extreme greed
2017-02-24,68.0,greed
2017-02-27,71.0,greed
2017-02-28,64.0,greed
2017-03-01,81.0,extreme greed
2017-03-02,75.0,extreme greed
2017-03-03,74.0,greed
2017-03-06,69.0,greed
2017-03-07,70.0,greed
2017-03-08,62.0,greed
2017-03-09,62.0,greed
2017-03-10,66.0,greed
2017-03-13,64.0,greed
2017-03-14,51.0,neutral
2017-03-15,53.0,neutral
2017-03-16,51.0,neutral
2017-03-17,45.0,neutral
2017-03-20,42.0,fear
2017-03-21,36.0,fear
2017-03-22,32.0,fear
2017-03-23,30.0,fear
2017-03-24,30.0,fear
2017-03-27,29.0,fear
2017-03-28,34.0,fear
2017-03-29,34.0,fear
2017-03-30,43.0,fear
2017-03-31,47.0,neutral
2017-04-03,46.0,neutral
2017-04-04,46.0,neutral
2017-04-05,43.0,fear
2017-04-06,43.0,fear
2017-04-07,40.0,fear
2017-04-10,37.0,fear
2017-04-11,31.0,fear
2017-04-12,28.0,fear
2017-04-13,25.0,fear
2017-04-17,30.0,fear
2017-04-18,30.0,fear
2017-04-19,30.0,fear
2017-04-20,34.0,fear
2017-04-21,35.0,fear
2017-04-24,39.0,fear
2017-04-25,46.0,neutral
2017-04-26,48.0,neutral
2017-04-27,50.0,neutral
2017-04-28,50.0,neutral
2017-05-01,49.0,neutral
2017-05-02,51.0,neutral
2017-05-03,47.0,neutral
2017-05-04,45.0,neutral
2017-05-05,47.0,neutral
2017-05-08,49.0,neutral
2017-05-09,50.0,neutral
2017-05-10,61.0,greed
2017-05-11,63.0,greed
2017-05-12,62.0,greed
2017-05-15,64.0,greed
2017-05-16,66.0,greed
2017-05-17,45.0,neutral
2017-05-18,43.0,fear
2017-05-19,49.0,neutral
2017-05-22,50.0,neutral
2017-05-23,45.0,neutral
2017-05-24,54.0,neutral
2017-05-25,57.0,greed
2017-05-26,58.0,greed
2017-05-30,53.0,neutral
2017-05-31,50.0,neutral
2017-06-01,58.0,greed
2017-06-02,57.0,greed
2017-06-05,58.0,greed
2017-06-06,55.0,greed
2017-06-07,55.0,greed
2017-06-08,55.0,greed
2017-06-09,54.0,neutral
2017-06-12,55.0,greed
2017-06-13,55.0,greed
2017-06-14,52.0,neutral
2017-06-15,52.0,neutral
2017-06-16,50.0,neutral
2017-06-19,57.0,greed
2017-06-20,48.0,neutral
2017-06-21,42.0,fear
2017-06-22,50.0,neutral
2017-06-23,52.0,neutral
2017-06-26,53.0,neutral
2017-06-27,48.0,neutral
2017-06-28,60.0,greed
2017-06-29,47.0,neutral
2017-06-30,49.0,neutral
2017-07-03,54.0,neutral
2017-07-05,57.0,greed
2017-07-06,44.0,fear
2017-07-07,49.0,neutral
2017-07-10,46.0,neutral
2017-07-11,41.0,fear
2017-07-12,47.0,neutral
2017-07-13,54.0,neutral
2017-07-14,64.0,greed
2017-07-17,67.0,greed
2017-07-18,62.0,greed
2017-07-19,74.0,greed
2017-07-20,76.0,extreme greed
2017-07-21,73.0,greed
2017-07-24,72.0,greed
2017-07-25,81.0,extreme greed
2017-07-26,78.0,extreme greed
2017-07-27,73.0,greed
2017-07-28,70.0,greed
2017-07-31,70.0,greed
2017-08-01,65.0,greed
2017-08-02,67.0,greed
2017-08-03,59.0,greed
2017-08-04,64.0,greed
2017-08-07,63.0,greed
2017-08-08,61.0,greed
2017-08-09,54.0,neutral
2017-08-10,31.0,fear
2017-08-11,28.0,fear
2017-08-14,39.0,fear
2017-08-15,36.0,fear
2017-08-16,34.0,fear
2017-08-17,19.0,extreme fear
2017-08-18,17.0,extreme fear
2017-08-21,15.0,extreme fear
2017-08-22,23.0,extreme fear
2017-08-23,19.0,extreme fear
2017-08-24,22.0,extreme fear
2017-08-25,27.0,fear
2017-08-28,29.0,fear
2017-08-29,28.0,fear
2017-08-30,35.0,fear
2017-08-31,43.0,fear
2017-09-01,50.0,neutral
2017-09-05,35.0,fear
2017-09-06,41.0,fear
2017-09-07,38.0,fear
2017-09-08,38.0,fear
2017-09-11,53.0,neutral
2017-09-12,63.0,greed
2017-09-13,68.0,greed
2017-09-14,68.0,greed
2017-09-15,77.0,extreme greed
2017-09-18,80.0,extreme greed
2017-09-19,81.0,extreme greed
2017-09-20,79.0,extreme greed
2017-09-21,73.0,greed
2017-09-22,70.0,greed
2017-09-25,65.0,greed
2017-09-26,67.0,greed
2017-09-27,78.0,extreme greed
2017-09-28,79.0,extreme greed
2017-09-29,85.0,extreme greed
2017-10-02,89.0,extreme greed
2017-10-03,92.0,extreme greed
2017-10-04,91.0,extreme greed
2017-10-05,95.0,extreme greed
2017-10-06,92.0,extreme greed
2017-10-09,84.0,extreme greed
2017-10-10,85.0,extreme greed
2017-10-11,83.0,extreme greed
2017-10-12,77.0,extreme greed
2017-10-13,73.0,greed
2017-10-16,78.0,extreme greed
2017-10-17,78.0,extreme greed
2017-10-18,82.0,extreme greed
2017-10-19,83.0,extreme greed
2017-10-20,90.0,extreme greed
2017-10-23,85.0,extreme greed
2017-10-24,87.0,extreme greed
2017-10-25,75.0,extreme greed
2017-10-26,71.0,greed
2017-10-27,73.0,greed
2017-10-30,74.0,greed
2017-10-31,65.0,greed
2017-11-01,72.0,greed
2017-11-02,69.0,greed
2017-11-03,66.0,greed
2017-11-06,68.0,greed
2017-11-07,58.0,greed
2017-11-08,54.0,neutral
2017-11-09,54.0,neutral
2017-11-10,54.0,neutral
2017-11-13,53.0,neutral
2017-11-14,49.0,neutral
2017-11-15,36.0,fear
2017-11-16,50.0,neutral
2017-11-17,44.0,fear
2017-11-20,50.0,neutral
2017-11-21,54.0,neutral
2017-11-22,54.0,neutral
2017-11-24,59.0,greed
2017-11-27,51.0,neutral
2017-11-28,64.0,greed
2017-11-29,67.0,greed
2017-11-30,73.0,greed
2017-12-01,70.0,greed
2017-12-04,64.0,greed
2017-12-05,63.0,greed
2017-12-06,60.0,greed
2017-12-07,60.0,greed
2017-12-08,64.0,greed
2017-12-11,62.0,greed
2017-12-12,66.0,greed
2017-12-13,67.0,greed
2017-12-14,66.0,greed
2017-12-15,68.0,greed
2017-12-18,74.0,greed
2017-12-19,73.0,greed
2017-12-20,72.0,greed
2017-12-21,68.0,greed
2017-12-22,66.0,greed
2017-12-26,64.0,greed
2017-12-27,61.0,greed
2017-12-28,62.0,greed
2017-12-29,53.0,neutral
2018-01-02,63.0,greed
2018-01-03,67.0,greed
2018-01-04,72.0,greed
2018-01-05,75.0,extreme greed
2018-01-08,75.0,extreme greed
2018-01-09,76.0,extreme greed
2018-01-10,75.0,extreme greed
2018-01-11,77.0,extreme greed
2018-01-12,79.0,extreme greed
2018-01-16,75.0,extreme greed
2018-01-17,75.0,extreme greed
2018-01-18,72.0,greed
2018-01-19,80.0,extreme greed
2018-01-22,79.0,extreme greed
2018-01-23,78.0,extreme greed
2018-01-24,78.0,extreme greed
2018-01-25,77.0,extreme greed
2018-01-26,79.0,extreme greed
2018-01-29,68.0,greed
2018-01-30,62.0,greed
2018-01-31,61.0,greed
2018-02-01,58.0,greed
2018-02-02,40.0,fear
2018-02-05,17.0,extreme fear
2018-02-06,18.0,extreme fear
2018-02-07,16.0,extreme fear
2018-02-08,8.0,extreme fear
2018-02-09,10.0,extreme fear
2018-02-12,12.0,extreme fear
2018-02-13,13.0,extreme fear
2018-02-14,11.0,extreme fear
2018-02-15,15.0,extreme fear
2018-02-16,18.0,extreme fear
2018-02-20,17.0,extreme fear
2018-02-21,18.0,extreme fear
2018-02-22,15.0,extreme fear
2018-02-23,18.0,extreme fear
2018-02-26,20.0,extreme fear
2018-02-27,17.0,extreme fear
2018-02-28,12.0,extreme fear
2018-03-01,8.0,extreme fear
2018-03-02,10.0,extreme fear
2018-03-05,14.0,extreme fear
2018-03-06,26.0,fear
2018-03-07,20.0,extreme fear
2018-03-08,20.0,extreme fear
2018-03-09,44.0,fear
2018-03-12,40.0,fear
2018-03-13,36.0,fear
2018-03-14,30.0,fear
2018-03-15,21.0,extreme fear
2018-03-16,19.0,extreme fear
2018-03-19,14.0,extreme fear
2018-03-20,15.0,extreme fear
2018-03-21,16.0,extreme fear
2018-03-22,9.0,extreme fear
2018-03-23,7.0,extreme fear
2018-03-26,8.0,extreme fear
2018-03-27,7.0,extreme fear
2018-03-28,6.0,extreme fear
2018-03-29,8.0,extreme fear
2018-04-02,7.0,extreme fear
2018-04-03,9.0,extreme fear
2018-04-04,11.0,extreme fear
2018-04-05,13.0,extreme fear
2018-04-06,9.0,extreme fear
2018-04-09,12.0,extreme fear
2018-04-10,17.0,extreme fear
2018-04-11,17.0,extreme fear
2018-04-12,22.0,extreme fear
2018-04-13,23.0,extreme fear
2018-04-16,25.0,fear
2018-04-17,28.0,fear
2018-04-18,32.0,fear
2018-04-19,32.0,fear
2018-04-20,38.0,fear
2018-04-23,40.0,fear
2018-04-24,33.0,fear
2018-04-25,38.0,fear
2018-04-26,42.0,fear
2018-04-27,40.0,fear
2018-04-30,42.0,fear
2018-05-01,42.0,fear
2018-05-02,38.0,fear
2018-05-03,32.0,fear
2018-05-04,40.0,fear
2018-05-07,44.0,fear
2018-05-08,41.0,fear
2018-05-09,49.0,neutral
2018-05-10,54.0,neutral
2018-05-11,55.0,greed
2018-05-14,54.0,neutral
2018-05-15,52.0,neutral
